step,clk,rst,q0,q1
0,0,1,0,0
1,1,1,0,0
2,0,0,0,0
3,1,0,1,0
4,0,0,1,0
5,1,0,0,1
6,0,0,0,1
7,1,0,1,1
8,0,0,1,1
